titulo,localizacion,moneda,precio,superficie_total,superficie_cubierta,dormitorios,ambientes,expensas,pisos,disposicion,piso,departamentos_x_piso,cocheras,tipo_departamento,antiguedad,con_pileta
Pasaje del Signo 4000,"Pasaje del Signo 4000, 4° piso - Palermo",$,10000,,28m²,Monoambiente,,NoIncluidas,,Frente,,,,Departamento,,
Acoyte 200,Acoyte 200 - Caballito,$,15500,,55m²,2,,NoIncluidas,,Contrafrente,,MuyBueno,,Departamento,,
J Navarro 5100,"J Navarro 5100, 1° piso - Villa Devoto",$,25000,20m²,145m²,3,,NoPaga,,Frente,,,,,,
4500,4500 - Villa Devoto,$,35000,45m²,209m²,3,,,,,,,1,Casa,40años,
M Sastre 2900,"M Sastre 2900, 7° piso - Villa del Parque",$,8500,,35m²,1,,NoIncluidas,,Lateral,,,,Departamento,35años,
El Salvador 4600,"El Salvador 4600, 1° piso - Palermo Soho",$,18500,20m²,40m²,1,,Incluidas,,Contrafrente,,,,Loft,18años,
Pres Jose E Uriburu 100,Pres Jose E Uriburu 100 - Congreso,$,8000,5m²,27m²,Monoambiente,,NoIncluidas,,Frente,,,,Departamento,35años,
Alberdi 100,"Alberdi 100, 5° piso - Olivos",$,30000,10m²,70m²,2,,NoIncluidas,,Frente,,,1,Departamento,,Si
El Salvador 5300,"El Salvador 5300, - piso - Palermo Soho",$,23700,,86m²,2,,NoPaga,,,,,,,2años,
Tte B Matienzo 1800,"Tte B Matienzo 1800, 5° piso - Las Cañitas",$,12000,,39m²,1,,NoIncluidas,,Lateral,,,,Departamento,40años,
Bulnes 0,"Bulnes 0, 6° piso - Almagro",$,16500,,63m²,2,,$2.800,,,,,,,30años,
Sucre 1600,"Sucre 1600, 8° piso - Belgrano Barrancas",$,14500,,51m²,2,,NoIncluidas,,Frente,,,,Departamento,40años,
MARIO BRAVO 200,"MARIO BRAVO 200, 6° piso - Almagro Sur",$,14900,5m²,40m²,1,,Incluidas,,Contrafrente,,,,Departamento,40años,
Mario Bravo 200,"Mario Bravo 200, 2° piso - Almagro",$,10200,,26m²,Monoambiente,,Incluidas,,Lateral,,,,,26años,
Virrey del Pino 2400,Virrey del Pino 2400 - Belgrano Barrancas,$,11000,2m²,38m²,Monoambiente,,$4.800,,Contrafrente,,,,Departamento,,
Florida 800,"Florida 800, 10° piso - Centro",$,12000,,46m²,1,,$5.200,,Contrafrente,,,,Departamento,40años,
franklin 1000,"franklin 1000, 7° piso - Caballito Norte",$,13000,6m²,47m²,1,,$4.000,,Contrafrente,,,,Departamento,10años,Si
Formosa 200,"Formosa 200, 1° piso - Caballito",$,16000,,74m²,2,,NoIncluidas,,Lateral,,,,Departamento,60años,
Tandil 2500,"Tandil 2500, 6° piso - Flores",$,10000,,40m²,,,Incluidas,8,Frente,,4,,Departamento,15años,
