post_id,titulo,precio,moneda,provincia,barrio,localizacion,tipo_propiedad,tipo_operacion,superficie_total,superficie_cubierta,dormitorios,ambientes,banos,expensas,piso,departamentos_x_piso,pisos,antiguedad,tipo_departamento,disposicion,condiciones_especiales,tipo_vendedor,vendedor,fotos,latitud,longitud,cocheras,descripcion,apto_credito,con_aire,con_jardin,con_parrilla,con_pileta,apto_profesional,url,
754117807,Av Directorio Al 3500  Flores ,95.000,U$S,,,Av Directorio Al 3500 Flores - Capital Federal,,Otro, 40 m² ,34 m²,1,2,1,2300,,,,0 años,,Frente,,,Mutuverria Propiedades,,,,,,,,,,,Si,,
753376664,Ruta 1 Km 24.5 - Puerta 2500 San Miguel 2500  Cortaderas  Chacabuco,1.700,$,,,Ruta 1 Km 24.5 - Puerta 2500 San Miguel 2500 Cortaderas - Chacabuco - San Luis,,Otro, 65 m² ,55 m²,,,,,,,,6 años,,,,,,,,,,,,,,,,,,
690473462,Residencial1 270  Costa Esmeralda,3.000,$,,,Residencial1 270 Costa Esmeralda - Bs.as. Costa Atlántica,,Otro, 250 m² ,200 m²,3,4,3,,,,2,,,,,,,,,,,,,Si,Si,Si,,,,
754975235,20bis Y 21 Entre 672 Y 673 123  Otros Barrios  La Plata,7.500,U$S,,,20bis Y 21 Entre 672 Y 673 123 Otros Barrios - La Plata - Bs.as. G.b.a. Sur,,Otro, 299.98 m² ,,,,,,,,,,,Otro,,,Villarreal Propiedades,,,,,,,,,,,,,
755181598,Gurruchaga Al 2300  Boulogne Sur Mer  San Isidro,3.200.000,U$S,,,Gurruchaga Al 2300 Boulogne Sur Mer - San Isidro - Bs.as. G.b.a. Norte,,Otro, 4400 m² ,4400 m²,,,,,,,,0 años,,,,,Cw Castro Cranwell & Weiss,,,,,,,,,,,,,
754652963,Muñecas 64  Centro  San Miguel De Tucumán,950,$,,,Muñecas 64 Centro - San Miguel De Tucumán - Tucumán,,Otro, 25 m² ,25 m²,1,1,1,,11,,,,Monoambiente,Lateral,,,,,,,,,,Si,,,,,,
752511679,Somellera Al 300  La Tablada  La Matanza,25.000,$,,,Somellera Al 300 La Tablada - La Matanza - Bs.as. G.b.a. Oeste,,Otro, 300 m² ,300 m²,,,1,,,,,25 años,,,,,Jpstella Inversiones Inmobiliarias,,,,,,,,,,,,,
700320079,Beltrami 2457  Punta Mogotes  Mar Del Plata,1.890,$,,,Beltrami 2457 Punta Mogotes - Mar Del Plata - Bs.as. Costa Atlántica,,Otro, 330 m² ,100 m²,3,5,1,,,,1,,,,,,,,,,2,,,,Si,Si,,,,
754577027,Pareja Al 3600  Villa Devoto ,833.170,U$S,,,Pareja Al 3600 Villa Devoto - Capital Federal,,Otro, 164 m² ,126 m²,3,4,1,,,,,0 años,Departamento,,,,Like Propiedades,,,,,,Si,,Si,Si,Si,,,
703654095,Arroyo Arroyon 3100  Delta  Tigre,1.800,$,,,Arroyo Arroyon 3100 Delta - Tigre - Bs.as. G.b.a. Norte,,Otro, 100 m² ,100 m²,1,2,1,,,,1,,,,,,,,,,,,,Si,Si,Si,,,,
754515847,Parque Industrial Pilar Calle Del Gasoducto Parcela Al 100  Pilar,990.000,$,,,Parque Industrial Pilar Calle Del Gasoducto Parcela Al 100 Pilar - Bs.as. G.b.a. Norte,,Otro, 9000 m² ,9000 m²,,,,,,,,0 años,,,,,Cw Castro Cranwell & Weiss,,,,,,,,,,,,,
752268937,Pte. Roca 600  Centro  Rosario,290.000,U$S,,,Pte. Roca 600 Centro - Rosario - Santa Fe,,Otro, 280 m² ,135 m²,3,4,3,7000,8,,10,45 años,Departamento,,,,Farina Inmobiliaria,,,,2,,,,,Si,,,,
703981253,Gobernador Peña 255  Santa Rita  Villa Carlos Paz,850,$,,,Gobernador Peña 255 Santa Rita - Villa Carlos Paz - Córdoba,,Otro, 1000 m² ,56 m²,2,,1,,,,,,,,,,,,,,5,,,,,,,,,
755410407,Pte Peron 3612  Los Polvorines  Malvinas Argentinas,400.000,$,,,Pte Peron 3612 Los Polvorines - Malvinas Argentinas - Bs.as. G.b.a. Norte,,Otro, 40 m² ,40 m²,,,1,,,,,,,,,,,,,,,,,,,,,,,
751961128,Tucuman 1487  Centro  Rosario,79.000,U$S,,,Tucuman 1487 Centro - Rosario - Santa Fe,,Otro, 45 m² ,45 m²,1,3,1,,,,,,,,,,Anacampagnoli,,,,,,Si,,,,,,,
696079105,Calle 43 Entre Viñas Del Mar Y Copaca 0  Mar Azul,1.500,$,,,Calle 43 Entre Viñas Del Mar Y Copaca 0 Mar Azul - Bs.as. Costa Atlántica,,Otro, 800 m² ,260 m²,2,,1,,,,,,,,,,,,,,4,,,Si,Si,Si,Si,,,
751657281,Costanera 1450  Santa Clara Del Mar,80.000,$,,,Costanera 1450 Santa Clara Del Mar - Bs.as. Costa Atlántica,,Otro, 300 m² ,20 m²,,,1,,,,,,,,,,,,,,,,,,,,,,,
755017138,9 De Julio Y Bv. Oroño  Centro  Rosario,77.000,U$S,,,9 De Julio Y Bv. Oroño Centro - Rosario - Santa Fe,,Otro, 37 m² ,34 m²,,1,1,,,,8,1 años,,Frente,,,Sucursal Rosario | Ventas,,,,,,,,,,,,,
691329694,30 700  Mar Azul,1.300,$,,,30 700 Mar Azul - Bs.as. Costa Atlántica,,Otro, 3000 m² ,100 m²,2,3,2,,,,,,,,,,,,,,1,,,,,,,,,
755171401,Costa Esmeralda 380  Costa Esmeralda,35.000,U$S,,,Costa Esmeralda 380 Costa Esmeralda - Bs.as. Costa Atlántica,,Otro, 1000 m² ,,,,,,,,,,,Perimetral,,,Ivanka Bolkovic,,,,,,,,,,,,,
755248122,Vieytes Al 1200  Barracas ,57.000,U$S,,,Vieytes Al 1200 Barracas - Capital Federal,,Otro, 70 m² ,70 m²,,,1,1800,,,,50 años,,,,,Tgr Gestión Inmobiliaria,,,,,,,,,,,,,
754577023,Pareja Al 3600  Villa Devoto ,318.460,U$S,,,Pareja Al 3600 Villa Devoto - Capital Federal,,Otro, 101 m² ,42 m²,1,2,2,,,,,0 años,Departamento,,,,Like Propiedades,,,,,,Si,,Si,Si,Si,,,
692281514,33 Entre 40 Y 42 1439  Claromecó  Tres Arroyos,1.100,$,,,33 Entre 40 Y 42 1439 Claromecó - Tres Arroyos - Buenos Aires Interior,,Otro, 200 m² ,74 m²,2,3,1,,,,,,,,,,,,,,1,,,Si,Si,Si,,,,
754532100,Bv. Oroño 300  Centro  Rosario,298.000,U$S,,,Bv. Oroño 300 Centro - Rosario - Santa Fe,,Otro, 97 m² ,85 m²,2,3,2,1800,,,12,17 años,Departamento,Frente,,,Farina Inmobiliaria,,,,12,,,,,Si,Si,,,
701163067,Cruz Del Sur Y Piquito De Oro 1  Villa Ventana  Tornquist,1.890,$,,,Cruz Del Sur Y Piquito De Oro 1 Villa Ventana - Tornquist - Buenos Aires Interior,,Otro, 750 m² ,90 m²,2,3,1,,,,,,,,,,,,,,1,,,Si,Si,Si,Si,,,
