titulo,localizacion,moneda,precio,superficie_total,superficie_cubierta,dormitorios,ambientes,expensas,pisos,disposicion,piso,departamentos_x_piso,cocheras,tipo_departamento,antiguedad,con_pileta
"Gutierrez 3900, Palermo,",Gutierrez 3900 Palermo - Capital Federal,$,45.000, 85 m² ,85 m²,2,3,8000,,,,2,1,Departamento,16 años,Si
"Belisario Roldan 295, Banfield, Lomas De Zamora",Belisario Roldan 295 Banfield - Lomas De Zamora - Bs.as. G.b.a. Sur,$,700.000, 220 m² ,185 m²,,,,,,,,,,,
"Los Aromos 596, El Trebol, Ezeiza",Los Aromos 596 El Trebol - Ezeiza - Bs.as. G.b.a. Sur,U$S,420.000, 4200 m² ,450 m²,4,,,,,,,4,,,
"Comodoro Ceferino Ramirez 5400, Villa Lugano,",Comodoro Ceferino Ramirez 5400 Villa Lugano - Capital Federal,U$S,73.000, 52 m² ,52 m²,2,3,900,14,Frente,7,4,1,Departamento,44 años,
"Lafinur 3135 3135, Quilmes Oeste, Quilmes",Lafinur 3135 3135 Quilmes Oeste - Quilmes - Bs.as. G.b.a. Sur,U$S,265.000, 236 m² ,180 m²,2,,,,,,,2,,,
"Tupiza 3900 2° Entre Lafinur Y Republica De La India, Palermo,",Tupiza 3900 2° Entre Lafinur Y Republica De La India Palermo - Capital Federal,$,22.000, 45 m² ,,1,2,,,Frente,,,,,,
"Rio Santa Cruz 750, Monte Hermoso",Rio Santa Cruz 750 Monte Hermoso - Buenos Aires Interior,$,1.700, 60 m² ,50 m²,1,2,,,,,,1,,,
"Avenida Del Mar 1500, Centro, Pinamar",Avenida Del Mar 1500 Centro - Pinamar - Bs.as. Costa Atlántica,U$S,190.000, 75 m² ,75 m²,2,3,,,,,,1,,,
"Robette & Bruselas 150, Ostende",Robette & Bruselas 150 Ostende - Bs.as. Costa Atlántica,U$S,120.000, 80 m² ,80 m²,3,,,,,,,1,,,
"Ruta Provincial 14 Km 167 164, La Paz, San Javier",Ruta Provincial 14 Km 167 164 La Paz - San Javier - Córdoba,U$S,1.000.000, 9300 m² ,8070 m²,,,,,,,,,,,
"Ascasubi 12, Villa Cura Brochero, San Alberto",Ascasubi 12 Villa Cura Brochero - San Alberto - Córdoba,$,1.200, 300 m² ,40 m²,1,2,,,,,,1,,,
"Mirador De La Bahía Al 100, Nordelta, Tigre",Mirador De La Bahía Al 100 Nordelta - Tigre - Bs.as. G.b.a. Norte,U$S,310.000, 84 m² ,72 m²,2,3,,,,,,1,Departamento,0 años,Si
"Av Chorroarin 1000, Villa Ortúzar,",Av Chorroarin 1000 Villa Ortúzar - Capital Federal,$,3.200.000, 720 m² ,720 m²,,,,,,,,,,,
"Calle 6 50, San Clemente",Calle 6 50 San Clemente - Bs.as. Costa Atlántica,$,1, 347 m² ,48.43 m²,1,,,,,,,1,,,
"Mario Bravo 1205, Palermo,",Mario Bravo 1205 Palermo - Capital Federal,U$S,19.000, 34 m² ,34 m²,,,,,,,,,,,
"Callao 1790, Recoleta,",Callao 1790 Recoleta - Capital Federal,$,20.000, 93 m² ,90 m²,2,3,,,,,,,,,
"Ruta 11 380, Costa Esmeralda",Ruta 11 380 Costa Esmeralda - Bs.as. Costa Atlántica,U$S,275.000, 1000 m² ,270 m²,5,6,6000,2,,,,,,2 años,Si
"Libres Del Sur 2175, Nueva Atlantis",Libres Del Sur 2175 Nueva Atlantis - Bs.as. Costa Atlántica,$,2.000, 250 m² ,90 m²,,,,,,,,,,5 años,
"Boote 0, Zelaya, Pilar",Boote 0 Zelaya - Pilar - Bs.as. G.b.a. Norte,U$S,57.000, 1087 m² ,,,,,,A laguna,,,,,,
