post_id,titulo,precio,moneda,provincia,barrio,localizacion,tipo_propiedad,tipo_operacion,superficie_total,superficie_cubierta,dormitorios,ambientes,banos,expensas,piso,departamentos_x_piso,pisos,antiguedad,tipo_departamento,disposicion,condiciones_especiales,tipo_vendedor,vendedor,fotos,latitud,longitud,cocheras,descripcion,apto_credito,con_aire,con_jardin,con_parrilla,con_pileta,apto_profesional,
751575992,Shaw 1000  Pinamar,1.800,$,,,Shaw 1000 Pinamar - Bs.as. Costa Atlántica,departamento,alquiler, 72 m² ,60 m²,1,2,2,,,,,,,,,,,,,,1,,,,,,,,
748450939,Vicente Lopez 1921  Recoleta ,12.500,$,,,Vicente Lopez 1921 Recoleta - Capital Federal,departamento,alquiler, 50 m² ,25 m²,1,1,1,1,,2,10,30 años,Departamento,Contrafrente,,,,,,,,,,Si,Si,Si,,,
746312223,Luis Maria Campos 8piso 1174  Las Cañitas ,18.500,$,,,Luis Maria Campos 8piso 1174 Las Cañitas - Capital Federal,departamento,alquiler, 45 m² ,45 m²,2,3,1,,,,,,,,,,,,,,1,,,,,,,,
749475763,Ranulpho José De Souza Sobrinho 200  Florianópolis  Santa Catarina,280,$,,,Ranulpho José De Souza Sobrinho 200 Florianópolis - Santa Catarina - Brasil,departamento,alquiler, 70 m² ,10 m²,1,2,1,,,1,2,10 años,Departamento,Interno,,,,,,,4,,,Si,Si,Si,Si,,
745727759,Maipú 459  San Nicolás ,35,$,,,Maipú 459 San Nicolás - Capital Federal,departamento,alquiler, 30 m² ,30 m²,1,2,1,,,,,,,Frente,,,,,,,,,,Si,,,,Si,
749274977,Rodriguez Peña 2087  Recoleta ,14.000,$,,,Rodriguez Peña 2087 Recoleta - Capital Federal,departamento,alquiler, 58 m² ,58 m²,1,2,1,,,,,,,,,,,,,,,,,,,,,,
738468099,Amenabar 50  Palermo Hollywood ,17.500,$,,,Amenabar 50 Palermo Hollywood - Capital Federal,departamento,alquiler, 40 m² ,40 m²,,1,1,4800,,,,0 años,,Contrafrente,,,Evoluer Real Estate Co.,,,,1,,,Si,,Si,Si,Si,
746366658,Esmeralda 800  Retiro ,18.500,$,,,Esmeralda 800 Retiro - Capital Federal,departamento,alquiler, 51 m² ,50 m²,1,2,1,,,,,30 años,,Contrafrente,,,,,,,,,,Si,,,,Si,
744968277,Eva Duarte De Peron 1055 Grand Bourg Malvinas Argentina 3051  Grand Bourg  Malvinas Argentinas,7.500,$,,,Eva Duarte De Peron 1055 Grand Bourg Malvinas Argentina 3051 Grand Bourg - Malvinas Argentinas - Bs.as. G.b.a. Norte,departamento,alquiler, 60 m² ,60 m²,1,2,1,,,,,,,,,,,,,,,,,,,,,,
745187728,Colodrero Sn  Wilde  Avellaneda,8.500,$,,,Colodrero Sn Wilde - Avellaneda - Bs.as. G.b.a. Sur,departamento,alquiler, 50 m² ,45.52 m²,1,2,1,,,,,,,,,,,,,,,,,,,,,,
752079424,Republica De La India 2900  Palermo ,15.000,$,,,Republica De La India 2900 Palermo - Capital Federal,departamento,alquiler, 30 m² ,30 m²,1,2,1,,,,,,,,,,Lopezcastromil Propiedades,,,,,,,Si,,,,,
745608477,La Pampa 1335  Belgrano ,15.500,$,,,La Pampa 1335 Belgrano - Capital Federal,departamento,alquiler, 45 m² ,40 m²,1,1,1,2300,,,,0 años,Monoambiente,Contrafrente,,,,,,,,,,,,,Si,Si,
748900855,Pedro Zavatarro 4044  Santos Lugares  Tres De Febrero,12.900,$,,,Pedro Zavatarro 4044 Santos Lugares - Tres De Febrero - Bs.as. G.b.a. Oeste,departamento,alquiler, 66 m² ,62 m²,2,3,1,2800,,,,,Dúplex,,,,,,,,,,,Si,,,,,
751977587,Av Roca 1600  Hurlingham,7.900,$,,,Av Roca 1600 Hurlingham - Bs.as. G.b.a. Oeste,departamento,alquiler, 32 m² ,32 m²,1,1,1,,,,,,,,,,,,,,,,,,,,,,
747395483,Av. Del Libertador Al 1500  Vicente López,18.000,$,,,Av. Del Libertador Al 1500 Vicente López - Bs.as. G.b.a. Norte,departamento,alquiler, 50 m² ,38 m²,1,2,1,6100,,,1,0 años,,Lateral,,,Lexinton Propieadades,,,,,,,,,Si,Si,,
751207764,Cordoba 1900  Lanús Este  Lanús,11.000,$,,,Cordoba 1900 Lanús Este - Lanús - Bs.as. G.b.a. Sur,departamento,alquiler, 55 m² ,52 m²,2,3,1,,,,,,,,,,,,,,,,,,,,,,
748083379,Jujuy Al 500  Balvanera ,9.000,$,,,Jujuy Al 500 Balvanera - Capital Federal,departamento,alquiler, 35 m² ,35 m²,1,2,1,2400,,,1,35 años,,Lateral,,,Sucursal Goyena,,,,,,,,,,,,
747241166,Las Piedras Al 100  Nordelta  Tigre,14.000,$,,,Las Piedras Al 100 Nordelta - Tigre - Bs.as. G.b.a. Norte,departamento,alquiler, 61 m² ,46 m²,1,2,1,,,,1,0 años,Departamento,,,,Pratto Propiedades,,,,1,,,,,Si,Si,,
750985687,Bolivia 581  Flores ,17.500,$,,,Bolivia 581 Flores - Capital Federal,departamento,alquiler, 73 m² ,70 m²,2,3,1,,,,,,,,,,,,,,,,,,,,,,
745083351,Rosetti 806  Ciudad Madero  La Matanza,8.200,$,,,Rosetti 806 Ciudad Madero - La Matanza - Bs.as. G.b.a. Oeste,departamento,alquiler, 40 m² ,40 m²,1,2,1,700,1,2,2,10 años,Departamento,Frente,,,,,,,,,,Si,,,,,
